source_kunnr,target_bp,name1,country,region,sales_org,partner_role,migration_status
70000001,BP70000001,NA Customer 001 Ltd,US,OH,1000,BP,NEEDS_REVIEW
70000002,BP70000002,NA Customer 002 Ltd,US,NY,2000,SH,NEEDS_REVIEW
70000003,BP70000003,NA Customer 003 Ltd,US,IL,2000,SP,READY
70000004,BP70000004,NA Customer 004 Ltd,US,QC,2000,PY,NEEDS_REVIEW
70000006,BP70000006,NA Customer 006 Ltd,US,ON,2000,SH,READY
70000007,BP70000007,NA Customer 007 Ltd,CA,ON,2000,PY,NEEDS_REVIEW
70000008,BP70000008,NA Customer 008 Ltd,CA,IL,2000,SH,READY
70000009,BP70000009,NA Customer 009 Ltd,CA,ON,1000,PY,READY
70000010,BP70000010,NA Customer 010 Ltd,CA,ON,1000,BP,NEEDS_REVIEW
70000011,BP70000011,NA Customer 011 Ltd,US,OH,1000,PY,READY
70000012,BP70000012,NA Customer 012 Ltd,CA,IL,2000,BP,NEEDS_REVIEW
70000013,BP70000013,NA Customer 013 Ltd,CA,IL,1000,BP,READY
70000014,BP70000014,NA Customer 014 Ltd,CA,QC,1000,SH,NEEDS_REVIEW
70000015,BP70000015,NA Customer 015 Ltd,CA,ON,2000,PY,NEEDS_REVIEW
70000016,BP70000016,NA Customer 016 Ltd,CA,QC,2000,PY,NEEDS_REVIEW
70000017,BP70000017,NA Customer 017 Ltd,CA,NY,2000,SH,NEEDS_REVIEW
70000018,BP70000018,NA Customer 018 Ltd,CA,NY,2000,PY,READY
70000019,BP70000019,NA Customer 019 Ltd,US,IL,2000,SP,NEEDS_REVIEW
70000020,BP70000020,NA Customer 020 Ltd,CA,ON,1000,SH,READY
70000021,BP70000021,NA Customer 021 Ltd,US,MI,1000,BP,READY
70000022,BP70000022,NA Customer 022 Ltd,US,NY,2000,PY,READY
70000023,BP70000023,NA Customer 023 Ltd,CA,NY,1000,SP,READY
70000024,BP70000024,NA Customer 024 Ltd,CA,ON,1000,SH,NEEDS_REVIEW
70000025,BP70000025,NA Customer 025 Ltd,CA,OH,2000,BP,READY
70000027,BP70000027,NA Customer 027 Ltd,US,MI,1000,SP,NEEDS_REVIEW
70000029,BP70000029,NA Customer 029 Ltd,US,IL,1000,SP,NEEDS_REVIEW
70000030,BP70000030,NA Customer 030 Ltd,US,ON,2000,SH,NEEDS_REVIEW
70000031,BP70000031,NA Customer 031 Ltd,CA,IL,2000,PY,NEEDS_REVIEW
70000032,BP70000032,NA Customer 032 Ltd,US,NY,1000,PY,READY
70000033,BP70000033,NA Customer 033 Ltd,US,OH,2000,SP,NEEDS_REVIEW
70000034,BP70000034,NA Customer 034 Ltd,US,QC,1000,BP,READY
70000035,BP70000035,NA Customer 035 Ltd,US,OH,1000,SP,READY
70000036,BP70000036,NA Customer 036 Ltd,US,MI,1000,PY,NEEDS_REVIEW
70000037,BP70000037,NA Customer 037 Ltd,CA,ON,1000,SH,READY
70000038,BP70000038,NA Customer 038 Ltd,US,MI,2000,BP,READY
70000039,BP70000039,NA Customer 039 Ltd,US,NY,2000,SP,NEEDS_REVIEW
70000040,BP70000040,NA Customer 040 Ltd,CA,NY,1000,SH,NEEDS_REVIEW
70000041,BP70000041,NA Customer 041 Ltd,US,NY,2000,SH,READY
70000042,BP70000042,NA Customer 042 Ltd,CA,NY,2000,SH,READY
70000043,BP70000043,NA Customer 043 Ltd,CA,ON,2000,PY,READY
70000044,BP70000044,NA Customer 044 Ltd,CA,OH,2000,PY,READY
70000045,BP70000045,NA Customer 045 Ltd,CA,ON,2000,SP,NEEDS_REVIEW
70000049,BP70000049,NA Customer 049 Ltd,CA,OH,1000,BP,NEEDS_REVIEW
70000050,BP70000050,NA Customer 050 Ltd,CA,QC,1000,SH,READY
70000051,BP70000051,NA Customer 051 Ltd,US,MI,2000,SP,READY
70000052,BP70000052,NA Customer 052 Ltd,US,IL,2000,SH,READY
70000053,BP70000053,NA Customer 053 Ltd,CA,MI,1000,BP,READY
70000054,BP70000054,NA Customer 054 Ltd,CA,ON,2000,PY,READY
70000055,BP70000055,NA Customer 055 Ltd,US,IL,2000,PY,NEEDS_REVIEW
70000056,BP70000056,NA Customer 056 Ltd,CA,OH,2000,BP,READY
70000057,BP70000057,NA Customer 057 Ltd,CA,QC,1000,SP,READY
70000058,BP70000058,NA Customer 058 Ltd,US,OH,2000,PY,NEEDS_REVIEW
70000059,BP70000059,NA Customer 059 Ltd,US,ON,2000,BP,READY
70000060,BP70000060,NA Customer 060 Ltd,CA,QC,2000,BP,NEEDS_REVIEW
