source_ship_to,target_bp,sold_to_bp,incoterms,migration_status
80000002,BP80000002,BP70000002,EXW,READY
80000003,BP80000003,BP70000003,EXW,READY
80000004,BP80000004,BP70000004,EXW,READY
80000007,BP80000007,BP70000007,EXW,READY
80000009,BP80000009,BP70000009,DAP,READY
80000010,BP80000010,BP70000010,FOB,READY
80000016,BP80000016,BP70000016,FOB,READY
80000017,BP80000017,BP70000017,FOB,READY
80000018,BP80000018,BP70000018,FOB,READY
80000020,BP80000020,BP70000020,FOB,READY
80000022,BP80000022,BP70000022,EXW,READY
80000025,BP80000025,BP70000025,EXW,READY
80000027,BP80000027,BP70000027,FOB,READY
80000030,BP80000030,BP70000030,EXW,READY
80000031,BP80000031,BP70000031,EXW,READY
80000032,BP80000032,BP70000032,EXW,READY
80000034,BP80000034,BP70000034,EXW,READY
80000035,BP80000035,BP70000035,FOB,READY
80000036,BP80000036,BP70000036,FOB,READY
80000037,BP80000037,BP70000037,DAP,READY
80000038,BP80000038,BP70000038,FOB,READY
80000039,BP80000039,BP70000039,FOB,READY
80000040,BP80000040,BP70000040,DAP,READY
