source_lifnr,target_bp,name1,country,payment_terms,currency,migration_status
V0000001,BPV0000001,Supplier 001 Inc,US,NT60,CAD,READY
V0000003,BPV0000003,Supplier 003 Inc,MX,NT30,USD,READY
V0000005,BPV0000005,Supplier 005 Inc,CA,NT30,USD,NEEDS_REVIEW
V0000006,BPV0000006,Supplier 006 Inc,US,NT60,USD,READY
V0000007,BPV0000007,Supplier 007 Inc,MX,NT60,CAD,NEEDS_REVIEW
V0000008,BPV0000008,Supplier 008 Inc,MX,NT30,USD,READY
V0000012,BPV0000012,Supplier 012 Inc,CA,NT60,CAD,NEEDS_REVIEW
V0000013,BPV0000013,Supplier 013 Inc,US,NT45,USD,NEEDS_REVIEW
V0000015,BPV0000015,Supplier 015 Inc,MX,NT45,USD,READY
V0000016,BPV0000016,Supplier 016 Inc,MX,NT45,USD,READY
V0000019,BPV0000019,Supplier 019 Inc,MX,NT60,CAD,READY
V0000021,BPV0000021,Supplier 021 Inc,CA,NT60,USD,READY
V0000023,BPV0000023,Supplier 023 Inc,US,NT45,USD,NEEDS_REVIEW
V0000025,BPV0000025,Supplier 025 Inc,MX,NT30,CAD,NEEDS_REVIEW
V0000026,BPV0000026,Supplier 026 Inc,CA,NT60,CAD,READY
V0000027,BPV0000027,Supplier 027 Inc,MX,NT60,CAD,READY
V0000028,BPV0000028,Supplier 028 Inc,MX,NT45,CAD,NEEDS_REVIEW
V0000030,BPV0000030,Supplier 030 Inc,CA,NT30,USD,READY
V0000032,BPV0000032,Supplier 032 Inc,MX,NT30,CAD,NEEDS_REVIEW
V0000033,BPV0000033,Supplier 033 Inc,US,NT45,CAD,NEEDS_REVIEW
V0000035,BPV0000035,Supplier 035 Inc,US,NT60,USD,NEEDS_REVIEW
V0000037,BPV0000037,Supplier 037 Inc,CA,NT30,USD,READY
V0000039,BPV0000039,Supplier 039 Inc,US,NT30,CAD,NEEDS_REVIEW
V0000040,BPV0000040,Supplier 040 Inc,CA,NT60,USD,READY
