month,plant,orders,otif,freight_spend_cad,inventory_tons,inventory_turns,fill_rate,corridor,network_opt_cost_ref
2025-09,Oakville,1229,0.94,68621.66,2713.6,6.42,0.971,Canada-US Great Lakes,2246.22
2025-09,Mississauga,1008,0.966,54147.87,2533.9,7.46,0.989,Canada-US Great Lakes,2246.22
2025-09,Hamilton,1136,0.864,53270.13,1909.4,9.24,0.981,Canada-US Great Lakes,2246.22
2025-09,Buffalo,951,0.978,44522.05,2642.7,7.62,0.906,Canada-US Great Lakes,2246.22
2025-09,Detroit,1132,0.883,46334.84,2556.9,6.61,0.963,Canada-US Great Lakes,2246.22
2025-10,Oakville,871,0.866,40069.68,2782.1,8.37,0.919,Canada-US Great Lakes,2246.22
2025-10,Mississauga,1062,0.93,61079.09,1572.8,8.3,0.975,Canada-US Great Lakes,2246.22
2025-10,Hamilton,852,0.893,52497.41,2780.0,7.06,0.976,Canada-US Great Lakes,2246.22
2025-10,Buffalo,962,0.939,37151.21,1223.8,8.39,0.923,Canada-US Great Lakes,2246.22
2025-10,Detroit,1181,0.862,52399.58,1402.8,6.43,0.911,Canada-US Great Lakes,2246.22
2025-11,Oakville,915,0.917,51855.25,2021.2,4.78,0.948,Canada-US Great Lakes,2246.22
2025-11,Mississauga,894,0.947,53470.18,2254.2,5.8,0.961,Canada-US Great Lakes,2246.22
2025-11,Hamilton,881,0.867,43605.59,1842.6,7.84,0.947,Canada-US Great Lakes,2246.22
2025-11,Buffalo,1304,0.869,52080.42,2173.3,4.55,0.926,Canada-US Great Lakes,2246.22
2025-11,Detroit,1182,0.906,61862.81,1671.8,6.88,0.941,Canada-US Great Lakes,2246.22
2025-12,Oakville,967,0.962,51852.47,2430.3,8.02,0.92,Canada-US Great Lakes,2246.22
2025-12,Mississauga,1312,0.967,62886.16,2523.9,6.31,0.969,Canada-US Great Lakes,2246.22
2025-12,Hamilton,1170,0.911,63136.23,1798.9,5.01,0.988,Canada-US Great Lakes,2246.22
2025-12,Buffalo,918,0.871,36764.75,1891.0,8.15,0.935,Canada-US Great Lakes,2246.22
2025-12,Detroit,983,0.927,51189.88,2098.5,5.95,0.912,Canada-US Great Lakes,2246.22
2026-01,Oakville,1212,0.965,73431.59,1876.7,9.05,0.905,Canada-US Great Lakes,2246.22
2026-01,Mississauga,1144,0.932,53126.8,2124.7,5.33,0.962,Canada-US Great Lakes,2246.22
2026-01,Hamilton,1079,0.962,50068.55,2090.0,4.81,0.926,Canada-US Great Lakes,2246.22
2026-01,Buffalo,1081,0.957,63004.71,2759.3,8.54,0.958,Canada-US Great Lakes,2246.22
2026-01,Detroit,876,0.933,47118.24,2309.6,4.35,0.926,Canada-US Great Lakes,2246.22
2026-02,Oakville,1166,0.971,54131.04,1490.2,4.96,0.962,Canada-US Great Lakes,2246.22
2026-02,Mississauga,921,0.877,48993.63,1249.1,8.15,0.92,Canada-US Great Lakes,2246.22
2026-02,Hamilton,1279,0.914,53433.84,1698.6,5.92,0.989,Canada-US Great Lakes,2246.22
2026-02,Buffalo,936,0.966,39062.95,2407.1,4.46,0.908,Canada-US Great Lakes,2246.22
2026-02,Detroit,1303,0.939,64701.61,1907.3,5.65,0.972,Canada-US Great Lakes,2246.22
2026-03,Oakville,966,0.901,39278.87,2285.1,7.34,0.95,Canada-US Great Lakes,2246.22
2026-03,Mississauga,1165,0.865,55321.56,2158.9,4.24,0.929,Canada-US Great Lakes,2246.22
2026-03,Hamilton,1066,0.952,60058.29,1663.1,4.84,0.947,Canada-US Great Lakes,2246.22
2026-03,Buffalo,1290,0.881,60791.22,2325.9,6.85,0.979,Canada-US Great Lakes,2246.22
2026-03,Detroit,1212,0.869,71123.0,1267.7,4.3,0.988,Canada-US Great Lakes,2246.22
2026-04,Oakville,1170,0.929,60561.06,2335.2,6.41,0.911,Canada-US Great Lakes,2246.22
2026-04,Mississauga,871,0.976,36690.84,2716.2,6.64,0.966,Canada-US Great Lakes,2246.22
2026-04,Hamilton,1220,0.871,71086.5,1589.3,7.32,0.95,Canada-US Great Lakes,2246.22
2026-04,Buffalo,1255,0.964,70153.64,1554.5,8.33,0.907,Canada-US Great Lakes,2246.22
2026-04,Detroit,966,0.924,41203.46,2442.0,6.06,0.991,Canada-US Great Lakes,2246.22
2026-05,Oakville,1001,0.888,41556.18,1515.6,7.39,0.972,Canada-US Great Lakes,2246.22
2026-05,Mississauga,927,0.881,52420.32,1990.6,8.2,0.972,Canada-US Great Lakes,2246.22
2026-05,Hamilton,1309,0.942,77452.42,2228.8,9.43,0.931,Canada-US Great Lakes,2246.22
2026-05,Buffalo,1173,0.878,46496.39,1907.5,5.8,0.926,Canada-US Great Lakes,2246.22
2026-05,Detroit,907,0.902,36080.98,1938.8,4.4,0.935,Canada-US Great Lakes,2246.22
2026-06,Oakville,1143,0.869,67142.11,2568.5,7.46,0.948,Canada-US Great Lakes,2246.22
2026-06,Mississauga,1323,0.93,80572.76,2382.3,4.42,0.986,Canada-US Great Lakes,2246.22
2026-06,Hamilton,1042,0.899,51490.53,1441.4,4.53,0.91,Canada-US Great Lakes,2246.22
2026-06,Buffalo,1201,0.978,48068.7,2233.8,4.41,0.967,Canada-US Great Lakes,2246.22
2026-06,Detroit,1299,0.923,68373.29,1782.2,9.07,0.937,Canada-US Great Lakes,2246.22
2026-07,Oakville,1196,0.941,46951.1,2209.4,5.97,0.931,Canada-US Great Lakes,2246.22
2026-07,Mississauga,1245,0.894,68935.16,2250.5,9.0,0.983,Canada-US Great Lakes,2246.22
2026-07,Hamilton,1191,0.87,64226.69,2666.8,5.84,0.962,Canada-US Great Lakes,2246.22
2026-07,Buffalo,1251,0.875,68820.03,1335.6,7.16,0.961,Canada-US Great Lakes,2246.22
2026-07,Detroit,1186,0.958,64142.19,2526.3,8.12,0.965,Canada-US Great Lakes,2246.22
2026-08,Oakville,1389,0.871,75132.32,2013.6,4.3,0.929,Canada-US Great Lakes,2246.22
2026-08,Mississauga,1069,0.901,60278.5,1507.2,9.5,0.915,Canada-US Great Lakes,2246.22
2026-08,Hamilton,1152,0.961,46572.34,2433.4,8.63,0.984,Canada-US Great Lakes,2246.22
2026-08,Buffalo,888,0.939,52421.68,2188.9,7.37,0.915,Canada-US Great Lakes,2246.22
2026-08,Detroit,1035,0.96,58484.07,2494.5,5.08,0.942,Canada-US Great Lakes,2246.22
