exception_id,month,plant,country,region,order_impact,otif_gap,root_cause,severity,owner
EX-00001,2025-09,Oakville,CA,Ontario,13,0.018,Carrier delay at border,Critical,Plant Ops
EX-00002,2025-09,Buffalo,US,New York,7,0.017,Weather / winter ops,Watch,Transportation
EX-00003,2025-09,Detroit,US,Michigan,5,0.035,Short ship / pick error,Action,Planning
EX-00004,2025-10,Mississauga,CA,Ontario,12,0.031,Documentation hold,Critical,Customer Care
EX-00005,2025-10,Hamilton,CA,Ontario,11,0.053,Production slip,Action,Transportation
EX-00006,2025-10,Hamilton,CA,Ontario,3,0.053,Yard congestion,Watch,Plant Ops
EX-00007,2025-10,Buffalo,US,New York,10,0.076,Carrier delay at border,Watch,Planning
EX-00008,2025-10,Buffalo,US,New York,30,0.076,Short ship / pick error,Action,Plant Ops
EX-00009,2025-10,Detroit,US,Michigan,35,0.061,Short ship / pick error,Watch,Planning
EX-00010,2025-10,Detroit,US,Michigan,20,0.061,Production slip,Action,Plant Ops
EX-00011,2025-11,Oakville,CA,Ontario,3,0.014,Yard congestion,Critical,Customer Care
EX-00012,2025-11,Mississauga,CA,Ontario,23,0.03,Weather / winter ops,Critical,Plant Ops
EX-00013,2025-11,Hamilton,CA,Ontario,14,0.074,Documentation hold,Action,Transportation
EX-00014,2025-11,Hamilton,CA,Ontario,6,0.074,Weather / winter ops,Watch,Customer Care
EX-00015,2025-11,Buffalo,US,New York,13,0.078,Customer dock unavailable,Watch,Customer Care
EX-00016,2025-11,Buffalo,US,New York,9,0.078,Documentation hold,Watch,Plant Ops
EX-00017,2025-11,Detroit,US,Michigan,13,0.045,Documentation hold,Action,Transportation
EX-00018,2025-11,Detroit,US,Michigan,4,0.045,Production slip,Watch,Transportation
EX-00019,2025-12,Oakville,CA,Ontario,4,0.029,Carrier delay at border,Watch,Transportation
EX-00020,2025-12,Mississauga,CA,Ontario,5,0.043,Yard congestion,Action,Customer Care
EX-00021,2025-12,Mississauga,CA,Ontario,3,0.043,Customer dock unavailable,Critical,Customer Care
