lane_id,dc_id,customer_id,distance_km,cost_per_ton,transit_days
DC-OAK-C-TOR,DC-OAK,C-TOR,32.1,1.0,0.5
DC-OAK-C-OTT,DC-OAK,C-OTT,384.1,7.33,0.8
DC-OAK-C-MTL,DC-OAK,C-MTL,535.4,10.06,1.12
DC-OAK-C-KW,DC-OAK,C-KW,65.0,1.59,0.5
DC-OAK-C-LON,DC-OAK,C-LON,137.1,2.89,0.5
DC-OAK-C-BUF,DC-OAK,C-BUF,92.1,14.08,0.5
DC-OAK-C-ROC,DC-OAK,C-ROC,171.7,15.51,0.5
DC-OAK-C-DET,DC-OAK,C-DET,301.3,17.84,0.63
DC-OAK-C-CLE,DC-OAK,C-CLE,273.8,17.35,0.57
DC-OAK-C-CHI,DC-OAK,C-CHI,672.6,24.53,1.4
DC-MIS-C-TOR,DC-MIS,C-TOR,22.2,0.82,0.5
DC-MIS-C-OTT,DC-MIS,C-OTT,373.4,7.14,0.78
DC-MIS-C-MTL,DC-MIS,C-MTL,526.3,9.89,1.1
DC-MIS-C-KW,DC-MIS,C-KW,70.1,1.68,0.5
DC-MIS-C-LON,DC-MIS,C-LON,146.0,3.05,0.5
DC-MIS-C-BUF,DC-MIS,C-BUF,99.8,14.22,0.5
DC-MIS-C-ROC,DC-MIS,C-ROC,171.4,15.5,0.5
DC-MIS-C-DET,DC-MIS,C-DET,310.1,18.0,0.65
DC-MIS-C-CLE,DC-MIS,C-CLE,286.7,17.58,0.6
DC-MIS-C-CHI,DC-MIS,C-CHI,679.1,24.64,1.41
DC-HAM-C-TOR,DC-HAM,C-TOR,59.2,1.49,0.5
DC-HAM-C-OTT,DC-HAM,C-OTT,410.0,7.8,0.85
DC-HAM-C-MTL,DC-HAM,C-MTL,559.6,10.49,1.17
DC-HAM-C-KW,DC-HAM,C-KW,54.8,1.41,0.5
DC-HAM-C-LON,DC-HAM,C-LON,115.5,2.5,0.5
DC-HAM-C-BUF,DC-HAM,C-BUF,90.5,14.05,0.5
DC-HAM-C-ROC,DC-HAM,C-ROC,183.7,15.73,0.5
DC-HAM-C-DET,DC-HAM,C-DET,278.7,17.44,0.58
DC-HAM-C-CLE,DC-HAM,C-CLE,246.1,16.85,0.51
DC-HAM-C-CHI,DC-HAM,C-CHI,653.3,24.18,1.36
DC-BUF-C-TOR,DC-BUF,C-TOR,94.6,2.12,0.5
DC-BUF-C-OTT,DC-BUF,C-OTT,379.2,7.25,0.79
DC-BUF-C-MTL,DC-BUF,C-MTL,513.5,9.66,1.07
DC-BUF-C-KW,DC-BUF,C-KW,145.2,3.03,0.5
DC-BUF-C-LON,DC-BUF,C-LON,193.0,3.89,0.5
DC-BUF-C-BUF,DC-BUF,C-BUF,0.0,0.37,0.5
DC-BUF-C-ROC,DC-BUF,C-ROC,107.5,2.07,0.5
DC-BUF-C-DET,DC-BUF,C-DET,346.6,5.86,0.72
DC-BUF-C-CLE,DC-BUF,C-CLE,278.6,4.78,0.58
DC-BUF-C-CHI,DC-BUF,C-CHI,727.1,11.89,1.51
DC-DET-C-TOR,DC-DET,C-TOR,332.1,6.4,0.69
DC-DET-C-OTT,DC-DET,C-OTT,681.5,12.69,1.42
DC-DET-C-MTL,DC-DET,C-MTL,836.4,15.47,1.74
DC-DET-C-KW,DC-DET,C-KW,242.4,4.78,0.51
DC-DET-C-LON,DC-DET,C-LON,164.2,3.38,0.5
DC-DET-C-BUF,DC-DET,C-BUF,346.6,5.86,0.72
DC-DET-C-ROC,DC-DET,C-ROC,453.3,7.55,0.94
DC-DET-C-DET,DC-DET,C-DET,0.0,0.37,0.5
DC-DET-C-CLE,DC-DET,C-CLE,145.1,2.67,0.5
DC-DET-C-CHI,DC-DET,C-CHI,381.5,6.41,0.79
