legacy_kunnr,name1,country,region,postal_code,sales_org,dist_channel,division,partner_role,dq_flag
70000001,NA Customer 001 Ltd,US,OH,H3B,1000,20,00,BP,ORPHAN_SHIPTO
70000002,NA Customer 002 Ltd,US,NY,14202,2000,10,00,SH,ADDR_INCOMPLETE
70000003,NA Customer 003 Ltd,US,IL,M5V,2000,20,00,SP,OK
70000004,NA Customer 004 Ltd,US,QC,14202,2000,20,00,PY,ADDR_INCOMPLETE
70000005,NA Customer 005 Ltd,CA,OH,14202,1000,10,00,BP,BAD_TAX
70000006,NA Customer 006 Ltd,US,ON,M5V,2000,10,00,SH,OK
70000007,NA Customer 007 Ltd,CA,ON,M5V,2000,10,00,PY,ADDR_INCOMPLETE
70000008,NA Customer 008 Ltd,CA,IL,14202,2000,20,00,SH,OK
70000009,NA Customer 009 Ltd,CA,ON,14202,1000,10,00,PY,OK
70000010,NA Customer 010 Ltd,CA,ON,14202,1000,20,00,BP,ADDR_INCOMPLETE
70000011,NA Customer 011 Ltd,US,OH,14202,1000,20,00,PY,OK
70000012,NA Customer 012 Ltd,CA,IL,H3B,2000,10,00,BP,ADDR_INCOMPLETE
70000013,NA Customer 013 Ltd,CA,IL,H3B,1000,20,00,BP,OK
70000014,NA Customer 014 Ltd,CA,QC,M5V,1000,20,00,SH,ORPHAN_SHIPTO
70000015,NA Customer 015 Ltd,CA,ON,14202,2000,20,00,PY,ADDR_INCOMPLETE
70000016,NA Customer 016 Ltd,CA,QC,14202,2000,10,00,PY,ADDR_INCOMPLETE
70000017,NA Customer 017 Ltd,CA,NY,H3B,2000,20,00,SH,ADDR_INCOMPLETE
70000018,NA Customer 018 Ltd,CA,NY,14202,2000,10,00,PY,OK
70000019,NA Customer 019 Ltd,US,IL,M5V,2000,10,00,SP,ADDR_INCOMPLETE
70000020,NA Customer 020 Ltd,CA,ON,14202,1000,20,00,SH,OK
70000021,NA Customer 021 Ltd,US,MI,H3B,1000,20,00,BP,OK
70000022,NA Customer 022 Ltd,US,NY,14202,2000,10,00,PY,OK
70000023,NA Customer 023 Ltd,CA,NY,M5V,1000,10,00,SP,OK
70000024,NA Customer 024 Ltd,CA,ON,48226,1000,10,00,SH,ADDR_INCOMPLETE
70000025,NA Customer 025 Ltd,CA,OH,M5V,2000,20,00,BP,OK
70000026,NA Customer 026 Ltd,CA,QC,H3B,1000,10,00,BP,BAD_TAX
70000027,NA Customer 027 Ltd,US,MI,M5V,1000,10,00,SP,ORPHAN_SHIPTO
70000028,NA Customer 028 Ltd,US,IL,48226,1000,10,00,BP,BAD_TAX
70000029,NA Customer 029 Ltd,US,IL,H3B,1000,20,00,SP,ADDR_INCOMPLETE
70000030,NA Customer 030 Ltd,US,ON,14202,2000,20,00,SH,ADDR_INCOMPLETE
70000031,NA Customer 031 Ltd,CA,IL,48226,2000,20,00,PY,ADDR_INCOMPLETE
70000032,NA Customer 032 Ltd,US,NY,M5V,1000,20,00,PY,OK
70000033,NA Customer 033 Ltd,US,OH,48226,2000,20,00,SP,ADDR_INCOMPLETE
70000034,NA Customer 034 Ltd,US,QC,14202,1000,20,00,BP,OK
70000035,NA Customer 035 Ltd,US,OH,H3B,1000,10,00,SP,OK
70000036,NA Customer 036 Ltd,US,MI,48226,1000,20,00,PY,ADDR_INCOMPLETE
70000037,NA Customer 037 Ltd,CA,ON,H3B,1000,20,00,SH,OK
70000038,NA Customer 038 Ltd,US,MI,48226,2000,20,00,BP,OK
70000039,NA Customer 039 Ltd,US,NY,H3B,2000,10,00,SP,ORPHAN_SHIPTO
70000040,NA Customer 040 Ltd,CA,NY,L6H,1000,10,00,SH,ORPHAN_SHIPTO
70000041,NA Customer 041 Ltd,US,NY,48226,2000,10,00,SH,OK
70000042,NA Customer 042 Ltd,CA,NY,M5V,2000,10,00,SH,OK
70000043,NA Customer 043 Ltd,CA,ON,48226,2000,10,00,PY,OK
70000044,NA Customer 044 Ltd,CA,OH,H3B,2000,20,00,PY,OK
70000045,NA Customer 045 Ltd,CA,ON,H3B,2000,10,00,SP,ADDR_INCOMPLETE
70000046,NA Customer 046 Ltd,US,ON,48226,1000,10,00,SH,BAD_TAX
70000047,NA Customer 047 Ltd,US,ON,M5V,1000,20,00,SH,BAD_TAX
70000048,NA Customer 048 Ltd,US,MI,14202,2000,20,00,BP,BAD_TAX
70000049,NA Customer 049 Ltd,CA,OH,L6H,1000,10,00,BP,ORPHAN_SHIPTO
70000050,NA Customer 050 Ltd,CA,QC,M5V,1000,10,00,SH,OK
70000051,NA Customer 051 Ltd,US,MI,48226,2000,20,00,SP,OK
70000052,NA Customer 052 Ltd,US,IL,H3B,2000,10,00,SH,OK
70000053,NA Customer 053 Ltd,CA,MI,L6H,1000,10,00,BP,OK
70000054,NA Customer 054 Ltd,CA,ON,M5V,2000,20,00,PY,OK
70000055,NA Customer 055 Ltd,US,IL,H3B,2000,20,00,PY,ADDR_INCOMPLETE
70000056,NA Customer 056 Ltd,CA,OH,L6H,2000,20,00,BP,OK
70000057,NA Customer 057 Ltd,CA,QC,48226,1000,20,00,SP,OK
70000058,NA Customer 058 Ltd,US,OH,14202,2000,10,00,PY,ORPHAN_SHIPTO
70000059,NA Customer 059 Ltd,US,ON,14202,2000,20,00,BP,OK
70000060,NA Customer 060 Ltd,CA,QC,H3B,2000,20,00,BP,ORPHAN_SHIPTO
