legacy_matnr,description,uom,plant,mrp_type,valuation_class,gross_weight,dq_flag
MAT00001,NA Cementitious Blend 001,PAL,1000,PD,7900,7.24,OK
MAT00002,NA Cementitious Blend 002,TO,1000,ND,7900,22.36,OK
MAT00003,NA Cementitious Blend 003,PAL,2000,PD,3000,2.8,OK
MAT00004,NA Cementitious Blend 004,PAL,1000,ND,3000,18.04,BAD_PLANT
MAT00005,NA Cementitious Blend 005,PAL,2000,PD,3100,14.94,OK
MAT00006,NA Cementitious Blend 006,TO,2000,VB,3100,4.31,OK
MAT00007,NA Cementitious Blend 007,TO,1000,VB,3000,9.29,OK
MAT00008,NA Cementitious Blend 008,PAL,1200,PD,7900,11.76,OK
MAT00009,NA Cementitious Blend 009,EA,1000,ND,3100,20.82,DUP_DESC
MAT00010,NA Cementitious Blend 010,EA,1100,ND,3000,1.62,OK
MAT00011,NA Cementitious Blend 011,EA,1000,PD,3000,9.81,MISSING_UOM
MAT00012,NA Cementitious Blend 012,PAL,1200,PD,3100,9.2,BAD_PLANT
MAT00013,NA Cementitious Blend 013,EA,1000,ND,7900,4.69,BAD_PLANT
MAT00014,NA Cementitious Blend 014,TO,1100,VB,3100,7.11,BAD_PLANT
MAT00015,NA Cementitious Blend 015,PAL,1100,ND,3100,21.15,OK
MAT00016,NA Cementitious Blend 016,TO,1000,VB,3100,7.06,OK
MAT00017,NA Cementitious Blend 017,PAL,1200,PD,7900,12.73,BAD_PLANT
MAT00018,NA Cementitious Blend 018,EA,1100,VB,3000,6.54,DUP_DESC
MAT00019,NA Cementitious Blend 019,PAL,1200,ND,7900,11.0,DUP_DESC
MAT00020,NA Cementitious Blend 020,EA,1200,PD,3000,12.98,OK
MAT00021,NA Cementitious Blend 021,TO,1000,PD,7900,4.42,BAD_PLANT
MAT00022,NA Cementitious Blend 022,EA,1000,VB,3100,15.1,MISSING_UOM
MAT00023,NA Cementitious Blend 023,PAL,1200,ND,3000,17.17,OK
MAT00024,NA Cementitious Blend 024,PAL,1200,ND,3100,3.23,MISSING_UOM
MAT00025,NA Cementitious Blend 025,TO,2000,PD,7900,21.96,OK
MAT00026,NA Cementitious Blend 026,PAL,1100,ND,3000,21.83,OK
MAT00027,NA Cementitious Blend 027,PAL,1100,PD,3100,19.18,DUP_DESC
MAT00028,NA Cementitious Blend 028,PAL,1000,ND,3100,12.47,OK
MAT00029,NA Cementitious Blend 029,EA,1200,PD,3000,6.4,DUP_DESC
MAT00030,NA Cementitious Blend 030,TO,1000,ND,3100,20.49,DUP_DESC
MAT00031,NA Cementitious Blend 031,TO,1100,ND,3100,23.7,OK
MAT00032,NA Cementitious Blend 032,EA,2000,PD,7900,19.0,BAD_PLANT
MAT00033,NA Cementitious Blend 033,TO,1200,VB,7900,16.42,MISSING_UOM
MAT00034,NA Cementitious Blend 034,PAL,2000,PD,3000,6.01,OK
MAT00035,NA Cementitious Blend 035,TO,1100,ND,3000,0.68,BAD_PLANT
MAT00036,NA Cementitious Blend 036,PAL,1000,PD,3000,22.68,OK
MAT00037,NA Cementitious Blend 037,TO,1100,VB,7900,12.39,DUP_DESC
MAT00038,NA Cementitious Blend 038,TO,2000,PD,3100,20.28,OK
MAT00039,NA Cementitious Blend 039,TO,1000,ND,3100,9.18,MISSING_UOM
MAT00040,NA Cementitious Blend 040,EA,1000,ND,7900,24.61,OK
MAT00041,NA Cementitious Blend 041,TO,2000,ND,3100,20.11,OK
