legacy_ship_to,sold_to,name1,country,region,incoterms,dq_flag
80000001,70000001,NA Customer 001 Ltd Ship-To,US,OH,EXW,ORPHAN_SHIPTO
80000002,70000002,NA Customer 002 Ltd Ship-To,US,NY,EXW,OK
80000003,70000003,NA Customer 003 Ltd Ship-To,US,IL,EXW,OK
80000004,70000004,NA Customer 004 Ltd Ship-To,US,QC,EXW,OK
80000005,70000005,NA Customer 005 Ltd Ship-To,CA,OH,DAP,OK
80000006,70000006,NA Customer 006 Ltd Ship-To,US,ON,FOB,ORPHAN_SHIPTO
80000007,70000007,NA Customer 007 Ltd Ship-To,CA,ON,EXW,OK
80000008,70000008,NA Customer 008 Ltd Ship-To,CA,IL,FOB,ORPHAN_SHIPTO
80000009,70000009,NA Customer 009 Ltd Ship-To,CA,ON,DAP,OK
80000010,70000010,NA Customer 010 Ltd Ship-To,CA,ON,FOB,OK
80000011,70000011,NA Customer 011 Ltd Ship-To,US,OH,FOB,ORPHAN_SHIPTO
80000012,70000012,NA Customer 012 Ltd Ship-To,CA,IL,EXW,ORPHAN_SHIPTO
80000013,70000013,NA Customer 013 Ltd Ship-To,CA,IL,FOB,ORPHAN_SHIPTO
80000014,70000014,NA Customer 014 Ltd Ship-To,CA,QC,DAP,ORPHAN_SHIPTO
80000015,70000015,NA Customer 015 Ltd Ship-To,CA,ON,EXW,ORPHAN_SHIPTO
80000016,70000016,NA Customer 016 Ltd Ship-To,CA,QC,FOB,OK
80000017,70000017,NA Customer 017 Ltd Ship-To,CA,NY,FOB,OK
80000018,70000018,NA Customer 018 Ltd Ship-To,CA,NY,FOB,OK
80000019,70000019,NA Customer 019 Ltd Ship-To,US,IL,EXW,ORPHAN_SHIPTO
80000020,70000020,NA Customer 020 Ltd Ship-To,CA,ON,FOB,OK
80000021,70000021,NA Customer 021 Ltd Ship-To,US,MI,FOB,ORPHAN_SHIPTO
80000022,70000022,NA Customer 022 Ltd Ship-To,US,NY,EXW,OK
80000023,70000023,NA Customer 023 Ltd Ship-To,CA,NY,DAP,ORPHAN_SHIPTO
80000024,70000024,NA Customer 024 Ltd Ship-To,CA,ON,EXW,ORPHAN_SHIPTO
80000025,70000025,NA Customer 025 Ltd Ship-To,CA,OH,EXW,OK
80000026,70000026,NA Customer 026 Ltd Ship-To,CA,QC,EXW,ORPHAN_SHIPTO
80000027,70000027,NA Customer 027 Ltd Ship-To,US,MI,FOB,OK
80000028,70000028,NA Customer 028 Ltd Ship-To,US,IL,DAP,OK
80000029,70000029,NA Customer 029 Ltd Ship-To,US,IL,EXW,ORPHAN_SHIPTO
80000030,70000030,NA Customer 030 Ltd Ship-To,US,ON,EXW,OK
80000031,70000031,NA Customer 031 Ltd Ship-To,CA,IL,EXW,OK
80000032,70000032,NA Customer 032 Ltd Ship-To,US,NY,EXW,OK
80000033,70000033,NA Customer 033 Ltd Ship-To,US,OH,EXW,ORPHAN_SHIPTO
80000034,70000034,NA Customer 034 Ltd Ship-To,US,QC,EXW,OK
80000035,70000035,NA Customer 035 Ltd Ship-To,US,OH,FOB,OK
80000036,70000036,NA Customer 036 Ltd Ship-To,US,MI,FOB,OK
80000037,70000037,NA Customer 037 Ltd Ship-To,CA,ON,DAP,OK
80000038,70000038,NA Customer 038 Ltd Ship-To,US,MI,FOB,OK
80000039,70000039,NA Customer 039 Ltd Ship-To,US,NY,FOB,OK
80000040,70000040,NA Customer 040 Ltd Ship-To,CA,NY,DAP,OK
