legacy_lifnr,name1,country,payment_terms,currency,purch_org,dq_flag
V0000001,Supplier 001 Inc,US,NT60,CAD,2000,OK
V0000002,Supplier 002 Inc,US,NT45,USD,1000,DUP_VAT
V0000003,Supplier 003 Inc,MX,NT30,USD,2000,OK
V0000004,Supplier 004 Inc,CA,NT60,USD,2000,DUP_VAT
V0000005,Supplier 005 Inc,CA,NT30,USD,1000,BANK_MISSING
V0000006,Supplier 006 Inc,US,NT60,USD,1000,OK
V0000007,Supplier 007 Inc,MX,NT60,CAD,1000,BANK_MISSING
V0000008,Supplier 008 Inc,MX,NT30,USD,1000,OK
V0000009,Supplier 009 Inc,CA,NT45,CAD,1000,DUP_VAT
V0000010,Supplier 010 Inc,MX,NT45,USD,2000,DUP_VAT
V0000011,Supplier 011 Inc,US,NT30,USD,1000,DUP_VAT
V0000012,Supplier 012 Inc,CA,NT60,CAD,1000,BANK_MISSING
V0000013,Supplier 013 Inc,US,NT45,USD,1000,BANK_MISSING
V0000014,Supplier 014 Inc,MX,NT45,USD,1000,DUP_VAT
V0000015,Supplier 015 Inc,MX,NT45,USD,2000,OK
V0000016,Supplier 016 Inc,MX,NT45,USD,2000,OK
V0000017,Supplier 017 Inc,MX,NT30,USD,1000,DUP_VAT
V0000018,Supplier 018 Inc,CA,NT45,USD,2000,DUP_VAT
V0000019,Supplier 019 Inc,MX,NT60,CAD,2000,OK
V0000020,Supplier 020 Inc,CA,NT60,USD,1000,DUP_VAT
V0000021,Supplier 021 Inc,CA,NT60,USD,1000,OK
V0000022,Supplier 022 Inc,US,NT60,CAD,1000,DUP_VAT
V0000023,Supplier 023 Inc,US,NT45,USD,1000,BANK_MISSING
V0000024,Supplier 024 Inc,MX,NT60,USD,2000,DUP_VAT
V0000025,Supplier 025 Inc,MX,NT30,CAD,1000,BANK_MISSING
V0000026,Supplier 026 Inc,CA,NT60,CAD,2000,OK
V0000027,Supplier 027 Inc,MX,NT60,CAD,2000,OK
V0000028,Supplier 028 Inc,MX,NT45,CAD,1000,BANK_MISSING
V0000029,Supplier 029 Inc,CA,NT45,USD,2000,DUP_VAT
V0000030,Supplier 030 Inc,CA,NT30,USD,1000,OK
V0000031,Supplier 031 Inc,CA,NT30,USD,1000,DUP_VAT
V0000032,Supplier 032 Inc,MX,NT30,CAD,2000,BANK_MISSING
V0000033,Supplier 033 Inc,US,NT45,CAD,2000,BANK_MISSING
V0000034,Supplier 034 Inc,MX,NT60,CAD,1000,DUP_VAT
V0000035,Supplier 035 Inc,US,NT60,USD,2000,BANK_MISSING
V0000036,Supplier 036 Inc,US,NT45,CAD,2000,DUP_VAT
V0000037,Supplier 037 Inc,CA,NT30,USD,2000,OK
V0000038,Supplier 038 Inc,US,NT60,USD,1000,DUP_VAT
V0000039,Supplier 039 Inc,US,NT30,CAD,2000,BANK_MISSING
V0000040,Supplier 040 Inc,CA,NT60,USD,1000,OK
