source_matnr,target_matnr,description,uom,plant,mrp_type,valuation_class,migration_status
MAT00001,S4-MAT00001,Na Cementitious Blend 001,PAL,1000,PD,7900,READY
MAT00002,S4-MAT00002,Na Cementitious Blend 002,TO,1000,ND,7900,READY
MAT00003,S4-MAT00003,Na Cementitious Blend 003,PAL,2000,PD,3000,READY
MAT00005,S4-MAT00005,Na Cementitious Blend 005,PAL,2000,PD,3100,READY
MAT00006,S4-MAT00006,Na Cementitious Blend 006,TO,2000,VB,3100,READY
MAT00007,S4-MAT00007,Na Cementitious Blend 007,TO,1000,VB,3000,READY
MAT00008,S4-MAT00008,Na Cementitious Blend 008,PAL,1200,PD,7900,READY
MAT00009,S4-MAT00009,Na Cementitious Blend 009,EA,1000,ND,3100,READY
MAT00010,S4-MAT00010,Na Cementitious Blend 010,EA,1100,ND,3000,READY
MAT00015,S4-MAT00015,Na Cementitious Blend 015,PAL,1100,ND,3100,READY
MAT00016,S4-MAT00016,Na Cementitious Blend 016,TO,1000,VB,3100,READY
MAT00018,S4-MAT00018,Na Cementitious Blend 018,EA,1100,VB,3000,READY
MAT00019,S4-MAT00019,Na Cementitious Blend 019,PAL,1200,ND,7900,READY
MAT00020,S4-MAT00020,Na Cementitious Blend 020,EA,1200,PD,3000,READY
MAT00023,S4-MAT00023,Na Cementitious Blend 023,PAL,1200,ND,3000,READY
MAT00025,S4-MAT00025,Na Cementitious Blend 025,TO,2000,PD,7900,READY
MAT00026,S4-MAT00026,Na Cementitious Blend 026,PAL,1100,ND,3000,READY
MAT00027,S4-MAT00027,Na Cementitious Blend 027,PAL,1100,PD,3100,READY
MAT00028,S4-MAT00028,Na Cementitious Blend 028,PAL,1000,ND,3100,READY
MAT00029,S4-MAT00029,Na Cementitious Blend 029,EA,1200,PD,3000,READY
MAT00030,S4-MAT00030,Na Cementitious Blend 030,TO,1000,ND,3100,READY
MAT00031,S4-MAT00031,Na Cementitious Blend 031,TO,1100,ND,3100,READY
MAT00034,S4-MAT00034,Na Cementitious Blend 034,PAL,2000,PD,3000,READY
MAT00036,S4-MAT00036,Na Cementitious Blend 036,PAL,1000,PD,3000,READY
MAT00037,S4-MAT00037,Na Cementitious Blend 037,TO,1100,VB,7900,READY
MAT00038,S4-MAT00038,Na Cementitious Blend 038,TO,2000,PD,3100,READY
MAT00040,S4-MAT00040,Na Cementitious Blend 040,EA,1000,ND,7900,READY
MAT00041,S4-MAT00041,Na Cementitious Blend 041,TO,2000,ND,3100,READY
MAT00043,S4-MAT00043,Na Cementitious Blend 043,TO,1200,VB,3000,READY
MAT00044,S4-MAT00044,Na Cementitious Blend 044,EA,1000,PD,7900,READY
MAT00045,S4-MAT00045,Na Cementitious Blend 045,TO,1100,PD,3100,READY
MAT00048,S4-MAT00048,Na Cementitious Blend 048,PAL,2000,PD,3000,READY
MAT00049,S4-MAT00049,Na Cementitious Blend 049,PAL,1000,ND,3100,READY
MAT00050,S4-MAT00050,Na Cementitious Blend 050,EA,1100,PD,7900,READY
MAT00051,S4-MAT00051,Na Cementitious Blend 051,TO,1000,ND,3000,READY
MAT00052,S4-MAT00052,Na Cementitious Blend 052,TO,1000,ND,3000,READY
MAT00053,S4-MAT00053,Na Cementitious Blend 053,PAL,1200,VB,3000,READY
MAT00054,S4-MAT00054,Na Cementitious Blend 054,TO,1200,VB,3000,READY
MAT00055,S4-MAT00055,Na Cementitious Blend 055,EA,1200,PD,3000,READY
MAT00056,S4-MAT00056,Na Cementitious Blend 056,TO,1000,ND,3000,READY
MAT00059,S4-MAT00059,Na Cementitious Blend 059,PAL,1200,ND,3000,READY
MAT00060,S4-MAT00060,Na Cementitious Blend 060,EA,1000,PD,7900,READY
MAT00067,S4-MAT00067,Na Cementitious Blend 067,TO,1000,VB,3100,READY
MAT00068,S4-MAT00068,Na Cementitious Blend 068,EA,1100,ND,3000,READY
MAT00069,S4-MAT00069,Na Cementitious Blend 069,PAL,2000,ND,7900,READY
MAT00070,S4-MAT00070,Na Cementitious Blend 070,TO,1100,VB,3000,READY
MAT00071,S4-MAT00071,Na Cementitious Blend 071,EA,1100,VB,3000,READY
MAT00073,S4-MAT00073,Na Cementitious Blend 073,EA,1200,PD,3000,READY
MAT00074,S4-MAT00074,Na Cementitious Blend 074,EA,1200,VB,3000,READY
MAT00075,S4-MAT00075,Na Cementitious Blend 075,EA,2000,ND,7900,READY
MAT00076,S4-MAT00076,Na Cementitious Blend 076,TO,1200,PD,7900,READY
MAT00077,S4-MAT00077,Na Cementitious Blend 077,TO,1000,ND,3100,READY
MAT00078,S4-MAT00078,Na Cementitious Blend 078,EA,1000,VB,7900,READY
MAT00079,S4-MAT00079,Na Cementitious Blend 079,PAL,2000,PD,7900,READY
