month,country,region,orders,otif,fill_rate,freight_spend_cad,sales_cad,inventory_tons,plants
2025-09,CA,Ontario,2999,0.954,0.949,144026.1,1585936.78,7456.5,3
2025-09,US,Michigan,905,0.925,0.927,50384.84,428844.13,1309.8,1
2025-09,US,New York,977,0.943,0.99,42417.6,657017.12,1539.4,1
2025-10,CA,Ontario,3209,0.931,0.941,183129.46,1958720.73,5606.2,3
2025-10,US,Michigan,1253,0.899,0.946,53398.59,749776.84,1966.4,1
2025-10,US,New York,1316,0.884,0.958,61565.86,863658.48,2184.2,1
2025-11,CA,Ontario,3732,0.921,0.948,184038.51,2093284.13,5948.0,3
2025-11,US,Michigan,1007,0.915,0.948,43555.41,520506.4,1891.0,1
2025-11,US,New York,1147,0.882,0.946,49899.8,593364.05,1882.8,1
2025-12,CA,Ontario,3357,0.93,0.957,165350.18,1911579.37,4883.6,3
2025-12,US,Michigan,1288,0.929,0.929,76319.09,543004.71,1694.4,1
2025-12,US,New York,1370,0.89,0.955,78302.46,792323.99,2280.0,1
2026-01,CA,Ontario,3473,0.899,0.958,178129.74,1826105.62,7106.8,3
2026-01,US,Michigan,1284,0.879,0.925,54518.57,795451.97,1527.1,1
2026-01,US,New York,1148,0.875,0.973,59906.5,627410.14,1653.2,1
2026-02,CA,Ontario,3425,0.931,0.952,180876.42,1822974.6,5736.7,3
2026-02,US,Michigan,1136,0.906,0.952,55757.51,526779.68,1743.2,1
2026-02,US,New York,1077,0.865,0.99,63451.12,481983.79,1779.0,1
2026-03,CA,Ontario,3371,0.925,0.939,180892.93,1864434.28,6467.9,3
2026-03,US,Michigan,1182,0.854,0.951,62354.76,520020.97,1291.0,1
2026-03,US,New York,1199,0.88,0.992,62873.94,751827.81,1950.3,1
2026-04,CA,Ontario,3059,0.95,0.957,136637.99,1711440.66,6323.3,3
2026-04,US,Michigan,878,0.925,0.963,38183.86,533973.92,2285.4,1
2026-04,US,New York,1070,0.9,0.96,69371.23,638269.35,1819.9,1
2026-05,CA,Ontario,3531,0.935,0.956,191731.16,2026916.57,6617.0,3
2026-05,US,Michigan,900,0.864,0.932,48779.39,501208.4,2063.6,1
2026-05,US,New York,1080,0.884,0.938,50319.22,517213.29,2716.3,1
2026-06,CA,Ontario,3549,0.941,0.963,164667.91,2171148.13,6304.7,3
2026-06,US,Michigan,904,0.928,0.977,42958.16,510019.26,2225.9,1
2026-06,US,New York,1003,0.915,0.956,61166.8,530438.37,2445.0,1
2026-07,CA,Ontario,3197,0.926,0.96,142460.45,1677855.49,4925.7,3
2026-07,US,Michigan,1051,0.908,0.987,49007.89,607802.58,1439.2,1
2026-07,US,New York,996,0.926,0.917,62297.23,601025.65,2313.7,1
2026-08,CA,Ontario,2823,0.927,0.936,135849.59,1395694.74,5328.8,3
2026-08,US,Michigan,1038,0.873,0.906,51876.42,644172.79,2372.7,1
2026-08,US,New York,1114,0.902,0.976,46305.71,579936.31,2597.3,1
